"host hugepage	vm hugepage 	thread	blocksize	mode	time	speed",,,,,,
0,0,1,1m,seq,0.5914,22669.3217
0,0,1,2m,seq,0.6287,21858.7617
0,0,1,4m,seq,0.6595,20892.8971
0,0,1,8m,seq,0.6831,19801.4451
0,0,1,16m,seq,0.7162,19064.5221
0,0,1,32m,seq,0.7274,18838.0304
0,0,1,64m,seq,0.7508,18920.8257
0,0,1,128m,seq,0.7389,18620.0412
0,0,1,256m,seq,0.7451,18777.7164
0,0,1,512m,seq,0.7272,18325.32
0,0,1,1024m,seq,0.7423,18706.7942
1,1,1,1m,seq,0.598,22921.4719
1,1,1,2m,seq,0.6199,21553.8138
1,1,1,4m,seq,0.6731,21325.5078
1,1,1,8m,seq,0.6804,19721.3385
1,1,1,16m,seq,0.715,19034.5876
1,1,1,32m,seq,0.7308,18924.8923
1,1,1,64m,seq,0.7415,18687.666
1,1,1,128m,seq,0.7309,18418.9071
1,1,1,256m,seq,0.7413,18682.4912
1,1,1,512m,seq,0.7259,18294.1967
1,1,1,1024m,seq,0.7302,18401.1397
0,1,1,1m,seq,0.598,22923.4908
0,1,1,2m,seq,0.6174,21467.7948
0,1,1,4m,seq,0.6723,21298.7666
0,1,1,8m,seq,0.6832,19803.093
0,1,1,16m,seq,0.7103,18908.3053
0,1,1,32m,seq,0.7392,19143.4278
0,1,1,64m,seq,0.7527,18969.5723
0,1,1,128m,seq,0.7312,18426.6387
0,1,1,256m,seq,0.7519,18947.5264
0,1,1,512m,seq,0.7469,18823.7638
0,1,1,1024m,seq,0.7276,18337.157
1,0,1,1m,seq,0.592,22692.8517
1,0,1,2m,seq,0.6296,21891.3274
1,0,1,4m,seq,0.6716,21277.6365
1,0,1,8m,seq,0.7034,20389.8526
1,0,1,16m,seq,0.7057,18786.3989
1,0,1,32m,seq,0.7249,18772.4513
1,0,1,64m,seq,0.7338,18492.2574
1,0,1,128m,seq,0.7356,18537.145
1,0,1,256m,seq,0.7512,18931.8987
1,0,1,512m,seq,0.7337,18489.6366
1,0,1,1024m,seq,0.7409,18671.9391
